AEP,Mass,Fatigue,Method
223.5355406026902,9258.265550288868,127.74414524184438,GA
223.52594415705548,9461.369420495945,121.85439763810315,GA
223.4915451410254,9334.527979819499,127.13892472541006,GA
223.48221316876874,8883.327552060717,138.66451172645327,GA
223.46998588736383,9295.892249516959,126.45994986641824,GA
223.45621072736745,9447.778892922575,122.21063356262026,GA
223.43906694567136,9723.514488680508,115.83337641761833,GA
223.43069407436744,8853.740443933553,139.77844743671932,GA
223.39400535527105,9376.051248160908,124.39233955303717,GA
223.38421021809103,9568.236885642982,118.89855949048878,GA
223.38089399547414,8875.320232198523,138.93402592496216,GA
223.37507798146663,8759.754785786155,142.2503603767198,GA
223.37308070699288,9543.83054614414,119.76438738364116,GA
223.3677451066393,9397.09149358742,123.7856607917144,GA
223.28747079005328,9280.239953907289,126.6554409364244,GA
223.2361394543472,9668.099964732897,116.4600884953914,GA
223.2279014245915,8940.589604690305,136.3987581456016,GA
223.19352552698354,8786.160362929597,141.14950190415775,GA
223.16090906066532,8907.510397502256,137.2153012237405,GA
223.1196023678408,9120.286459127263,131.60152137440866,GA
223.0280907412067,9327.25697731627,126.39965184994225,GA
222.97718283613352,8770.677267797415,141.38592447045758,GA
222.93958865238756,9116.598135272381,131.44192350530312,GA
222.90040194765876,9518.518950487949,119.82195101087682,GA
222.8660400454155,8753.850680144686,141.6216694002434,GA
222.85778450969536,9575.308280686993,118.12264789284126,GA
222.7974247419586,8752.503022243893,141.55627137567348,GA
222.79312979899356,8752.418659324318,141.5521781516435,GA
222.78069644969978,9505.709035286378,121.16429462300438,GA
222.77830151398035,9628.913653376298,117.18513053227441,GA
222.76521455967656,9620.548209242648,117.8446692760243,GA
222.6929337567318,9108.548596833845,131.09718731174243,GA
222.67762693923643,9696.723469570186,115.41669153212972,GA
222.64671642445265,8849.263861420057,140.5248062595366,GA
222.52543228734768,8992.729836506363,135.63653142124525,GA
222.51518583089901,9146.103901762752,129.1946492035612,GA
222.4997995368367,8748.825382198953,142.36044726205324,GA
222.48744763387666,9679.38048386696,114.99959870257001,GA
222.47926688322954,8822.340701825016,141.11674597133975,GA
222.4640655569633,8784.413387901881,141.06532328039,GA
222.4599002929161,9384.890130408243,123.13079104410122,GA
222.4414064196773,9511.43035359607,119.13507610095301,GA
222.3793241345818,9288.124805377252,126.21249353407217,GA
222.26498561863454,9112.656876533152,129.72029759648228,GA
222.23111538636385,8849.551777091776,139.84460732399052,GA
222.20933800058475,9585.109189421502,116.85209167111014,GA
222.16482491361435,9329.362353415734,123.54606280141583,GA
222.13950112205586,8811.263271342741,140.89042491261037,GA
222.13410625833566,9037.781116248509,131.72604125104624,GA
222.1230203272379,9109.746189484218,129.5960348464492,GA
222.08078849075406,9369.981230309142,122.71739739488075,GA
222.06253920558206,9136.92292208952,128.80597774204213,GA
221.98057029335743,8959.734553336919,134.2379856359595,GA
221.96687764282612,9296.474076672119,124.3334511135397,GA
221.96394340195727,9144.754774948493,128.54998266961857,GA
221.96122346760785,9483.092108503752,119.36671676855087,GA
221.93887865038872,8597.492306110293,145.2545270262367,GA
221.89715858806602,9694.832338233175,114.61823951098432,GA
221.84981742584984,9671.36775605563,115.01657166537868,GA
221.6953980693367,9361.850424864344,122.39821029887322,GA
221.6177361843075,9488.450071597754,119.10864059100241,GA
221.58887826622035,9200.34261229591,127.53363545623223,GA
221.57940733413625,8965.282040047581,133.03322943956707,GA
221.56655180390263,8799.59465860333,138.32677438103698,GA
221.52260403092757,9690.787186039981,114.58139280191371,GA
221.5075022696223,9223.484765734936,126.78347498807199,GA
221.50340501598407,9397.963484122627,120.90985978223975,GA
221.49459928886898,8556.88433259244,145.95845533083278,GA
221.4723761784465,8929.697774060915,133.93702015062016,GA
221.4714433181197,9519.592861626008,118.90339183105647,GA
221.46067026716912,8553.849205855216,146.0050428474222,GA
221.4476985339488,8643.410712315996,144.34913804363495,GA
221.44574345261884,9194.052682078238,127.93132297462257,GA
221.44172855130557,9045.676942581658,130.45703146209803,GA
221.36226280811542,9084.373685881435,129.4044155916379,GA
221.30765661803866,8638.04226041468,143.32859779948004,GA
221.28310163160094,8959.285650525931,132.7664718648883,GA
221.28117457723823,8663.35069705993,142.25080409184542,GA
221.2666561932157,8909.158463756929,134.24580060718696,GA
221.24312865193107,9514.684727471407,118.71957316315779,GA
221.23544809990122,8549.51220953328,145.78307178590563,GA
221.2234981030434,9192.878420514427,128.19373997113254,GA
221.14337552081682,9173.317798807157,126.44699395318064,GA
221.13924807770852,9631.775926635255,114.34577663542485,GA
221.13806064169572,8644.721876909842,142.91449611000547,GA
221.1268506648536,9181.748470473416,126.33089045800943,GA
221.07947841933532,9560.709609348223,115.96199528802153,GA
221.07223817090107,8931.612690501128,133.29184430522835,GA
221.0610806273659,9618.517848082805,114.49189930253675,GA
221.01241986726583,8535.232396321911,145.896835750889,GA
220.9726476393935,9061.799461051301,129.629044383736,GA
220.93487682855547,8708.856763133717,141.35199111248775,GA
220.92490894976896,9302.653077039113,122.48798798263245,GA
220.90094427893698,9662.090262766224,113.23526142416863,GA
220.8809216053791,9666.243522278037,113.09312344287072,GA
220.86834322922704,8988.038216945679,131.29172639747244,GA
220.8562246241638,8642.342061358748,142.0112374800019,GA
220.85309673450948,9522.87816668193,116.97177289089296,GA
220.8318061374612,8717.261050053923,139.77973284787225,GA
220.78754068160362,8642.090442435161,142.02667325518271,GA
220.76639597299592,9047.932598308627,129.64291703214187,GA
220.75705777791939,9634.433845484415,113.83412800566396,GA
220.7495777898571,8882.620063132967,135.41012674284016,GA
220.7350462219497,9226.959867366051,124.31235507782203,GA
